Team,Gms,TotÂ Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G,year
New England PatriotsNew England,16,557,34.8,2184,136.5,4662,291.4,6846,427.9,2012
New Orleans SaintsNew Orleans,16,461,28.8,1577,98.6,4997,312.3,6574,410.9,2012
Detroit LionsDetroit,16,372,23.2,1613,100.8,4927,307.9,6540,408.8,2012
Denver BroncosDenver,16,481,30.1,1832,114.5,4534,283.4,6366,397.9,2012
Washington RedskinsWashington,16,436,27.2,2709,169.3,3422,213.9,6131,383.2,2012
Dallas CowboysDallas,16,376,23.5,1265,79.1,4729,295.6,5994,374.6,2012
Houston TexansHouston,16,416,26.0,2123,132.7,3830,239.4,5953,372.1,2012
Atlanta FalconsAtlanta,16,419,26.2,1397,87.3,4509,281.8,5906,369.1,2012
Tampa Bay BuccaneersTampa Bay,16,389,24.3,1837,114.8,3983,248.9,5820,363.8,2012
Indianapolis ColtsIndianapolis,16,357,22.3,1671,104.4,4128,258.0,5799,362.4,2012
San Francisco 49ersSan Francisco,16,397,24.8,2491,155.7,3298,206.1,5789,361.8,2012
Carolina PanthersCarolina,16,357,22.3,2088,130.5,3683,230.2,5771,360.7,2012
Green Bay PackersGreen Bay,16,433,27.1,1702,106.4,4049,253.1,5751,359.4,2012
New York GiantsNY Giants,16,429,26.8,1862,116.4,3825,239.1,5687,355.4,2012
Philadelphia EaglesPhiladelphia,16,280,17.5,1874,117.1,3791,236.9,5665,354.1,2012
Baltimore RavensBaltimore,16,398,24.9,1901,118.8,3739,233.7,5640,352.5,2012
Seattle SeahawksSeattle,16,412,25.8,2579,161.2,3031,189.4,5610,350.6,2012
Oakland RaidersOakland,16,290,18.1,1420,88.8,4084,255.2,5504,344.0,2012
Buffalo BillsBuffalo,16,344,21.5,2217,138.6,3269,204.3,5486,342.9,2012
Minnesota VikingsMinnesota,16,379,23.7,2634,164.6,2751,171.9,5385,336.6,2012
Pittsburgh SteelersPittsburgh,16,336,21.0,1537,96.1,3787,236.7,5324,332.8,2012
Cincinnati BengalsCincinnati,16,391,24.4,1745,109.1,3578,223.6,5323,332.7,2012
St. Louis RamsSt. Louis,16,299,18.7,1714,107.1,3550,221.9,5264,329.0,2012
Kansas City ChiefsKansas City,16,211,13.2,2395,149.7,2713,169.6,5108,319.2,2012
Cleveland BrownsCleveland,16,302,18.9,1593,99.6,3435,214.7,5028,314.2,2012
Tennessee TitansTennessee,16,330,20.6,1687,105.4,3323,207.7,5010,313.1,2012
Miami DolphinsMiami,16,288,18.0,1802,112.6,3182,198.9,4984,311.5,2012
Chicago BearsChicago,16,375,23.4,1970,123.1,2999,187.4,4969,310.6,2012
Jacksonville JaguarsJacksonville,16,255,15.9,1369,85.6,3419,213.7,4788,299.2,2012
New York JetsNY Jets,16,281,17.6,1896,118.5,2891,180.7,4787,299.2,2012
San Diego ChargersSan Diego,16,350,21.9,1461,91.3,3295,205.9,4756,297.2,2012
Arizona CardinalsArizona,16,250,15.6,1204,75.2,3005,187.8,4209,263.1,2012
